Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6,Varv 7,Varv 8,Varv 9,Varv 10,Varv 11,Varv 1_Datetime,Varv 2_Datetime,Varv 3_Datetime,Varv 4_Datetime,Varv 5_Datetime,Varv 6_Datetime,Varv 7_Datetime,Varv 8_Datetime,Varv 9_Datetime,Varv 10_Datetime,Varv 11_Datetime
FMK Skövde,2023.0,1.0,Motion 40-49,1111.0,Magnus Edberg,Huskvarna MK,4.0,53:05.5,14:08.2,14:17.5,11:47.5,12:52.1,,,,,,,,1900-01-01 00:14:08.200,1900-01-01 00:14:17.500,1900-01-01 00:11:47.500,1900-01-01 00:12:52.100,,,,,,,
FMK Skövde,2023.0,2.0,Motion -39,518.0,Alexander Fält,Försvarsmaktens EK,4.0,53:45.2,14:38.8,14:31.4,12:13.6,12:21.2,,,,,,,,1900-01-01 00:14:38.800,1900-01-01 00:14:31.400,1900-01-01 00:12:13.600,1900-01-01 00:12:21.200,,,,,,,
FMK Skövde,2023.0,3.0,Motion -39,577.0,Måns Dalén,FMCK Skövde,4.0,53:51.5,14:20.4,14:53.3,12:03.4,12:34.3,,,,,,,,1900-01-01 00:14:20.400,1900-01-01 00:14:53.300,1900-01-01 00:12:03.400,1900-01-01 00:12:34.300,,,,,,,
FMK Skövde,2023.0,4.0,Ungdom E1,175.0,William Almén,SMK Värnamo,4.0,54:06.2,14:26.6,14:50.0,12:07.0,12:42.5,,,,,,,,1900-01-01 00:14:26.600,1900-01-01 00:14:50.000,1900-01-01 00:12:07.000,1900-01-01 00:12:42.500,,,,,,,
FMK Skövde,2023.0,5.0,Motion 40-49,944.0,Niklas Strömberg,Götene MK,4.0,54:13.8,14:40.2,15:07.9,11:56.7,12:28.9,,,,,,,,1900-01-01 00:14:40.200,1900-01-01 00:15:07.900,1900-01-01 00:11:56.700,1900-01-01 00:12:28.900,,,,,,,
FMK Skövde,2023.0,6.0,Motion 40-49,931.0,Mårten Gustavsson,Försvarsmaktens EK,4.0,55:21.3,15:14.0,15:17.4,11:59.5,12:50.3,,,,,,,,1900-01-01 00:15:14.000,1900-01-01 00:15:17.400,1900-01-01 00:11:59.500,1900-01-01 00:12:50.300,,,,,,,
FMK Skövde,2023.0,7.0,Motion -39,519.0,Erik Larsson,Tibro MK,4.0,55:38.1,15:39.1,15:09.3,12:19.7,12:29.9,,,,,,,,1900-01-01 00:15:39.100,1900-01-01 00:15:09.300,1900-01-01 00:12:19.700,1900-01-01 00:12:29.900,,,,,,,
FMK Skövde,2023.0,8.0,Ungdom E1,100.0,Hugo Andersson,Tibro MK,4.0,55:49.5,14:43.9,16:13.7,12:25.1,12:26.6,,,,,,,,1900-01-01 00:14:43.900,1900-01-01 00:16:13.700,1900-01-01 00:12:25.100,1900-01-01 00:12:26.600,,,,,,,
FMK Skövde,2023.0,9.0,Motion -39,620.0,Hampus Östensson,Hallsbergs MK,4.0,56:04.4,15:37.8,15:43.3,12:14.7,12:28.4,,,,,,,,1900-01-01 00:15:37.800,1900-01-01 00:15:43.300,1900-01-01 00:12:14.700,1900-01-01 00:12:28.400,,,,,,,
FMK Skövde,2023.0,10.0,Motion 40-49,949.0,Benny Andersson,Norrahammars MK,4.0,56:08.1,15:01.3,15:00.1,13:01.1,13:05.4,,,,,,,,1900-01-01 00:15:01.300,1900-01-01 00:15:00.100,1900-01-01 00:13:01.100,1900-01-01 00:13:05.400,,,,,,,
FMK Skövde,2023.0,11.0,Motion -39,539.0,Niklas Mörk,Laxå MK,4.0,56:49.4,15:34.2,15:20.1,12:33.2,13:21.7,,,,,,,,1900-01-01 00:15:34.200,1900-01-01 00:15:20.100,1900-01-01 00:12:33.200,1900-01-01 00:13:21.700,,,,,,,
FMK Skövde,2023.0,12.0,Motion -39,513.0,Joacim Wigertson,Kullings MS,4.0,57:03.1,15:20.2,15:11.2,12:58.9,13:32.7,,,,,,,,1900-01-01 00:15:20.200,1900-01-01 00:15:11.200,1900-01-01 00:12:58.900,1900-01-01 00:13:32.700,,,,,,,
FMK Skövde,2023.0,13.0,Ungdom E1,104.0,Theodor Popp,SMK Värnamo,4.0,57:04.7,16:23.5,15:50.6,12:23.3,12:27.1,,,,,,,,1900-01-01 00:16:23.500,1900-01-01 00:15:50.600,1900-01-01 00:12:23.300,1900-01-01 00:12:27.100,,,,,,,
FMK Skövde,2023.0,14.0,Motion -39,552.0,Jakob Johansson,Tidaholms MK,4.0,57:37.5,15:03.4,16:59.5,12:29.5,13:05.0,,,,,,,,1900-01-01 00:15:03.400,1900-01-01 00:16:59.500,1900-01-01 00:12:29.500,1900-01-01 00:13:05.000,,,,,,,
FMK Skövde,2023.0,15.0,Motion 40-49,929.0,Rickard Bengtsson,Falköpings MK,4.0,57:47.6,16:02.5,15:00.4,13:08.5,13:36.0,,,,,,,,1900-01-01 00:16:02.500,1900-01-01 00:15:00.400,1900-01-01 00:13:08.500,1900-01-01 00:13:36.000,,,,,,,
FMK Skövde,2023.0,16.0,Motion -39,794.0,Joel Kvist,Försvarsmaktens EK,4.0,58:06.3,15:32.3,16:01.1,13:03.0,13:29.7,,,,,,,,1900-01-01 00:15:32.300,1900-01-01 00:16:01.100,1900-01-01 00:13:03.000,1900-01-01 00:13:29.700,,,,,,,
FMK Skövde,2023.0,17.0,Motion 40-49,923.0,Stefan Liljedahl,Tibro MK,4.0,58:16.5,15:02.6,15:32.9,13:07.4,14:33.3,,,,,,,,1900-01-01 00:15:02.600,1900-01-01 00:15:32.900,1900-01-01 00:13:07.400,1900-01-01 00:14:33.300,,,,,,,
FMK Skövde,2023.0,18.0,Ungdom E1,141.0,William Brehag Von Haugwitz,Carlsborgs MK,4.0,58:23.7,16:40.9,15:28.3,13:11.5,13:02.8,,,,,,,,1900-01-01 00:16:40.900,1900-01-01 00:15:28.300,1900-01-01 00:13:11.500,1900-01-01 00:13:02.800,,,,,,,
FMK Skövde,2023.0,19.0,Motion 40-49,959.0,Charlie Turesson,FMCK Hässleholm,4.0,58:25.6,16:46.0,14:48.1,13:09.0,13:42.4,,,,,,,,1900-01-01 00:16:46.000,1900-01-01 00:14:48.100,1900-01-01 00:13:09.000,1900-01-01 00:13:42.400,,,,,,,
FMK Skövde,2023.0,20.0,Motion 40-49,994.0,Mikael Bengtsson,Falköpings MK,4.0,58:39.9,16:49.2,15:02.7,13:43.5,13:04.3,,,,,,,,1900-01-01 00:16:49.200,1900-01-01 00:15:02.700,1900-01-01 00:13:43.500,1900-01-01 00:13:04.300,,,,,,,
FMK Skövde,2023.0,21.0,Motion -39,507.0,Man - Alfred Ivarsson,Älvbygdens MK,4.0,58:41.2,16:32.7,15:27.2,13:06.6,13:34.5,,,,,,,,1900-01-01 00:16:32.700,1900-01-01 00:15:27.200,1900-01-01 00:13:06.600,1900-01-01 00:13:34.500,,,,,,,
FMK Skövde,2023.0,22.0,Ungdom E1,162.0,Axel Plogner,Karlstad MX Klubb,4.0,58:45.3,16:23.5,15:51.7,13:07.3,13:22.6,,,,,,,,1900-01-01 00:16:23.500,1900-01-01 00:15:51.700,1900-01-01 00:13:07.300,1900-01-01 00:13:22.600,,,,,,,
FMK Skövde,2023.0,23.0,Motion 40-49,997.0,Robert Strandberg,Hjo MK,4.0,59:12.1,16:49.0,15:44.0,13:07.8,13:31.2,,,,,,,,1900-01-01 00:16:49.000,1900-01-01 00:15:44.000,1900-01-01 00:13:07.800,1900-01-01 00:13:31.200,,,,,,,
FMK Skövde,2023.0,24.0,Motion -39,536.0,Andreas Mörk,Laxå MK,4.0,59:13.1,15:19.6,16:47.8,13:28.1,13:37.5,,,,,,,,1900-01-01 00:15:19.600,1900-01-01 00:16:47.800,1900-01-01 00:13:28.100,1900-01-01 00:13:37.500,,,,,,,
FMK Skövde,2023.0,25.0,Ungdom E1,151.0,Liam Nilsson,FMCK Skövde,4.0,59:19.8,16:07.2,15:58.2,13:59.9,13:14.3,,,,,,,,1900-01-01 00:16:07.200,1900-01-01 00:15:58.200,1900-01-01 00:13:59.900,1900-01-01 00:13:14.300,,,,,,,
FMK Skövde,2023.0,26.0,Ungdom E1,101.0,Sixten Larsson,FMCK Borås,4.0,59:34.2,16:39.8,14:59.6,13:50.0,14:04.6,,,,,,,,1900-01-01 00:16:39.800,1900-01-01 00:14:59.600,1900-01-01 00:13:50.000,1900-01-01 00:14:04.600,,,,,,,
FMK Skövde,2023.0,27.0,Motion -39,551.0,Melker Svantesson,Kullings MS,4.0,59:56.0,16:05.8,15:30.1,14:27.4,13:52.6,,,,,,,,1900-01-01 00:16:05.800,1900-01-01 00:15:30.100,1900-01-01 00:14:27.400,1900-01-01 00:13:52.600,,,,,,,
FMK Skövde,2023.0,28.0,Motion -39,524.0,Marcus Hjelm,Falköpings MK,4.0,59:58.8,17:03.1,15:52.0,13:30.4,13:33.3,,,,,,,,1900-01-01 00:17:03.100,1900-01-01 00:15:52.000,1900-01-01 00:13:30.400,1900-01-01 00:13:33.300,,,,,,,
