Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5
1,Ungdom E1,100,Hugo Andersson,Tibro MK,5,52:01.6,12:59.6,6:14.0,12:58.4,6:19.4,13:30.0
2,Motion -39,518,Alexander Fält,Försvarsmaktens EK,5,53:36.2,13:01.0,6:17.3,13:44.6,6:37.2,13:55.9
3,Motion -39,539,Niklas Mörk,Laxå MK,5,53:49.5,13:03.0,6:27.0,13:42.9,6:44.0,13:52.4
4,Ungdom E1,175,William Almén,SMK Värnamo,5,54:01.9,13:15.8,6:29.6,13:26.4,7:03.5,13:46.4
5,Motion 40-49,1111,Magnus Edberg,Huskvarna MK,5,54:29.6,13:14.5,6:34.1,14:22.0,6:34.5,13:44.3
6,Ungdom E1,184,Sven Höglander,Djursdala SK,5,54:44.4,13:33.7,6:28.3,13:56.2,6:40.0,14:05.9
7,Motion -39,552,Jakob Johansson,Tidaholms MK,5,55:13.4,13:22.2,6:43.1,13:42.9,7:10.0,14:14.9
8,Motion -39,519,Erik Larsson,Tibro MK,5,55:42.7,13:46.4,6:37.0,14:46.8,6:48.6,13:43.7
9,Ungdom E1,104,Theodor Popp,SMK Värnamo,5,55:52.3,13:39.0,6:45.9,14:02.1,7:06.6,14:18.5
10,Motion 40-49,940,Daniel Fridérus,Ulricehamns MK,5,56:21.0,14:03.9,6:44.2,14:19.0,6:59.2,14:14.6
11,Ungdom E1,193,Emil Wänndahl,Huskvarna MK,5,56:36.7,14:21.5,6:48.5,14:02.7,7:03.7,14:20.0
12,Motion -39,577,Måns Dalén,FMCK Skövde,5,56:42.0,13:54.7,6:36.2,14:35.2,6:57.1,14:38.7
13,Motion -39,620,Hampus Östensson,Hallsbergs MK,5,56:54.4,13:35.1,6:56.1,14:34.2,7:31.9,14:17.0
14,Motion 40-49,931,Mårten Gustavsson,Försvarsmaktens EK,5,56:56.1,13:57.7,6:54.4,14:29.4,7:14.4,14:20.0
15,Ungdom E1,183,Mille Söderblom,Hallsbergs MK,5,57:23.2,15:11.8,6:40.1,14:02.1,7:08.0,14:20.8
16,Motion 40-49,970,Roy Kolberg,Team Westom Motorcykel,5,57:36.1,14:04.6,6:59.6,14:28.8,7:12.7,14:50.3
17,Ungdom E1,188,Liam Ljungström,SMK Vingåker,5,57:38.1,14:04.4,6:59.6,14:27.1,7:15.4,14:51.3
18,Motion -39,794,Joel Kvist,Försvarsmaktens EK,5,57:43.0,13:46.7,6:37.7,14:42.6,7:26.6,15:09.1
19,Ungdom E1,141,William Brehag Von Haugwitz,Carlsborgs MK,5,57:55.8,14:29.6,7:04.6,14:48.1,6:55.6,14:37.7
20,Motion -39,513,Joacim Wigertson,Kullings MS,5,57:58.6,14:06.0,7:00.6,14:52.7,7:05.9,14:53.2
21,Motion 40-49,944,Niklas Strömberg,Götene MK,5,58:11.1,13:42.4,6:53.2,14:57.2,7:08.7,15:29.4
22,Ungdom E1,165,Hugo Hellström,Norrahammars MK,5,58:24.3,14:54.3,7:01.9,14:19.1,7:18.2,14:50.7
23,Ungdom E1,162,Axel Plogner,Karlstad MX Klubb,5,58:41.7,14:38.1,7:03.1,14:30.1,7:38.6,14:51.6
24,Motion 40-49,909,Niklas Fransson,Vimmerby MS,5,58:59.5,14:22.4,6:48.1,15:11.8,7:26.0,15:10.9
25,Ungdom E1,108,Victor Sterling,Linköpings MS,5,59:03.2,14:50.3,7:47.3,14:35.7,7:16.9,14:32.9
26,Motion 40-49,959,Charlie Turesson,FMCK Hässleholm,5,59:10.9,14:52.6,6:59.7,14:52.2,7:31.0,14:55.1
