Carlsborgs MK,2023,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
,,1,Ungdom E1,100,Hugo Andersson,Tibro MK,Sherco,16:54.4  17:22.0  17:39.3  18:06.1  ,4,10:01.9
,,2,Motion -39,539,Niklas Mörk,Laxå MK,KTM,16:50.3  17:31.5  17:44.8  18:09.3  ,4,10:16.0
,,3,Motion 40-49,1008,Christer Huss,Göta MS,,16:58.3  17:21.9  17:50.5  18:07.7  ,4,10:18.6
,,4,Ungdom E1,175,William Almén,SMK Värnamo,Husqvarna / Team Bloms MX Racing,16:48.1  17:36.3  17:55.4  18:11.3  ,4,10:31.2
,,5,Motion -39,519,Erik Larsson,Tibro MK,KTM,17:27.7  17:21.4  17:48.8  18:06.9  ,4,10:45.0
,,6,Motion -39,620,Hampus Östensson,Hallsbergs MK,KTM,17:34.2  18:20.1  17:58.3  18:07.0  ,4,11:59.7
,,7,Ungdom E1,141,William Brehag Von Haugwitz,Carlsborgs MK,Yamaha,17:46.8  17:52.2  18:14.4  18:11.9  ,4,12:05.5
,,8,Motion -39,655,Melvin Nordgren,Örebro EK,Husqvarna,18:06.6  18:07.1  18:03.8  18:25.6  ,4,12:43.2
,,9,Ungdom E1,165,Hugo Hellström,Norrahammars MK,Sherco,17:55.6  18:09.5  18:25.3  18:27.2  ,4,12:57.9
,,10,Ungdom E1,183,Mille Söderblom,Hallsbergs MK,GasGas,18:01.0  18:24.0  18:31.4  18:07.9  ,4,13:04.4
,,11,Motion 40-49,931,Mårten Gustavsson,Försvarsmaktens EK,KTM,17:54.4  18:22.1  18:32.0  18:33.5  ,4,13:22.2
,,12,Motion -39,518,Alexander Fält,Försvarsmaktens EK,Honda,17:57.0  18:15.4  18:43.2  18:34.7  ,4,13:30.4
,,13,Ungdom E1,151,Liam Nilsson,FMCK Skövde,Husqvarna,18:20.5  18:28.2  18:28.0  18:31.4  ,4,13:48.2
,,14,Motion 40-49,940,Daniel Fridérus,Ulricehamns MK,KTM,17:56.4  18:25.7  18:40.3  19:01.9  ,4,14:04.4
,,15,Motion 40-49,970,Roy Kolberg,Team Westom Motorcykel,Sherco,17:52.7  18:45.9  18:32.8  18:53.5  ,4,14:05.0
,,16,Ungdom E1,102,Liam Qvist,Åbågen MCK,Honda / Team cljp Sweden,18:17.2  18:49.7  18:48.4  18:37.2  ,4,14:32.7
,,17,Motion -39,577,Måns Dalén,FMCK Skövde,KTM / Team A-Moto,17:53.9  18:31.1  19:03.5  19:11.7  ,4,14:40.3
,,18,Ungdom E1,162,Axel Plogner,Karlstad MX Klubb,Sherco,18:24.4  18:36.7  19:06.8  18:42.8  ,4,14:50.9
