Falköpings MK
Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
1,Motion 40-49,1008,Christer Huss,Göta MS,,7:22.3  9:52.5  7:17.9  9:44.5  7:18.0  9:53.4  7:26.9  ,7,58:55.8
2,Motion -39,539,Niklas Mörk,Laxå MK,KTM,7:16.7  9:48.9  7:16.3  9:58.7  7:16.6  10:00.7  7:24.5  ,7,59:02.7
3,Ungdom E1,100,Hugo Andersson,Tibro MK,Sherco,7:11.9  9:51.5  7:20.7  10:01.7  7:24.9  10:02.5  7:33.7  ,7,59:27.1
4,Motion 40-49,1014,Per Korsell,Götene MK,KTM,7:08.2  9:54.6  7:25.4  10:08.2  7:30.9  10:13.2  7:33.3  ,7,59:54.1
5,Motion 40-49,1111,Magnus Edberg,Huskvarna MK,KTM,7:11.5  9:59.2  7:19.9  10:01.3  7:34.0  10:01.5  7:47.3  ,7,59:54.9
6,Motion -39,620,Hampus Östensson,Hallsbergs MK,KTM,7:22.0  9:56.2  7:23.4  10:05.8  7:37.0  9:59.6  7:34.0  ,7,59:58.3
7,Motion -39,518,Alexander Fält,Försvarsmaktens EK,Honda,7:26.0  9:56.5  7:27.5  10:07.6  7:40.0  10:26.5  7:46.3  ,7,00:50.7
8,Ungdom E1,104,Theodor Popp,SMK Värnamo,Husqvarna,7:25.5  10:09.6  7:33.9  10:12.1  7:31.6  10:17.0  7:41.7  ,7,00:51.6
9,Ungdom E1,141,William Brehag Von Haugwitz,Carlsborgs MK,Yamaha,7:25.3  10:04.2  7:35.3  10:14.2  7:48.1  10:15.6  7:49.5  ,7,01:12.5
10,Motion -39,552,Jakob Johansson,Tidaholms MK,KTM,7:23.8  10:15.4  7:27.7  10:17.5  7:41.5  10:29.9  7:43.6  ,7,01:19.7
11,Motion 40-49,931,Mårten Gustavsson,Försvarsmaktens EK,KTM,7:40.5  9:59.9  7:28.3  10:19.7  7:38.6  10:17.9  7:54.8  ,7,01:20.0
12,Ungdom E1,165,Hugo Hellström,Norrahammars MK,Sherco,7:28.9  10:14.2  7:37.4  10:13.1  7:42.5  10:22.7  7:50.5  ,7,01:29.7
13,Motion -39,655,Melvin Nordgren,Örebro EK,Husqvarna / Team Marin & Fritid,7:27.0  10:25.6  7:47.4  10:24.9  7:33.2  10:36.7  7:51.0  ,7,02:06.1
14,Ungdom E1,175,William Almén,SMK Värnamo,Husqvarna / Team Bloms MX Racing,7:21.4  10:04.3  7:41.4  10:25.9  7:51.5  10:43.5  8:04.5  ,7,02:12.9
15,Ungdom E1,101,Sixten Larsson,FMCK Borås,KTM,7:35.9  10:24.1  7:41.6  10:31.9  7:51.6  10:45.2  7:52.5  ,7,02:43.0
16,Motion -39,577,Måns Dalén,FMCK Skövde,KTM / Team A-Moto,7:36.7  10:14.3  7:47.9  10:38.5  7:57.9  10:33.9  7:57.4  ,7,02:46.8
17,Ungdom E1,188,Liam Ljungström,SMK Vingåker,Beta,7:27.4  10:20.1  7:45.5  10:37.0  7:53.5  10:41.0  8:08.2  ,7,02:53.0
18,Ungdom E1,162,Axel Plogner,Karlstad MX Klubb,Sherco / Team MC-Center Karlstad,7:38.6  10:09.3  7:47.5  10:31.4  8:01.3  10:39.7  8:10.9  ,7,02:59.1
19,Ungdom E1,105,Alfred Gustavsson,Mariestads EK,GasGas,7:39.2  10:28.5  7:44.5  10:38.5  7:50.4  10:41.5  8:02.6  ,7,03:05.6
20,Motion 40-49,970,Roy Kolberg,Team Westom Motorcykel,Sherco / Team MC-Center Karlstad,7:41.4  10:46.3  7:48.9  10:35.2  7:58.4  10:27.9  7:57.2  ,7,03:15.7
21,Motion -39,520,Linus Ernstsson,Bengtsfors MCC,Husqvarna,7:37.6  10:29.7  7:50.3  10:37.5  7:52.6  10:55.2  7:56.3  ,7,03:19.5
22,Ungdom E1,102,Liam Qvist,Åbågen MCK,Honda / Team cljp Sweden,7:40.8  11:01.0  8:11.6  10:36.9  7:46.3  10:36.7  7:53.5  ,7,03:47.1
