Tidaholms MK,2024,#,Namn,Klubb,Unnamed: 5,Seeding
,,141,William Brehag Von Haugwitz,Carlsborgs MK,,1
,,962,Jonas Bergqvist,Skene MS,,2
,,547,Felix Johansson,Kinds MK,,3
,,924,Sebastian Carlsson,SMK Vadstena,,4
,,900,Hans Torsborn,Ulricehamns MK,,5
,,985,Joakim Ericsson,Töreboda MK,,6
,,530,Patrik Olsson,Lilla Edets MCK,,7
,,1006,Anton Bernhardsson,Kortedala MK,,8
,,102,Liam Qvist,Åbågen MCK,,9
,,934,Johan Karlsson,Älvbygdens MK,,10
,,912,Lars-Olof Lindström,FMCK Borås,,11
,,903,Björn Bäckström,MK Ran,,12
,,929,Daniel Lundqvist,Töreboda MK,,13
,,511,Dennis Ring,FMCK Borås,,14
,,504,Christer Strand,Tibro MK,,15
,,517,Patric Gustafsson,Huskvarna MK,,16
,,509,Hugo Lindström,FMCK Borås,,17
,,974,Jonas Svensson,Hallsbergs MK,,18
,,550,Eric Gustafsson,SMK Vingåker,,19
,,513,Niklas Kedén,Hjo MK,,20
,,971,Jonas Gustafsson,Götene MK,,21
,,556,Tommy Gustafsson,Huskvarna MK,,22
,,920,Christoffer Johnsson,Hisingens MK,,23
,,914,Niklas Utterberg,Norrahammars MK,,24
,,990,Johan Kjellson,FMCK Skövde,,25
,,906,Anders Billestedt Andersson,Stenungsunds MS,,26
,,913,Daniel Blomqvist,FMCK Skövde,,27
,,911,Robert Ahlin,Falköpings MK,,28
,,104,Lisa Nyqvist,Stenungsunds MS,,29
,,510,Simon Gustafsson,Älvbygdens MK,,30
,,915,Martin Jonsson,Töreboda MK,,31
,,922,Mikael Sahlin,Lidköpings MCK,,32
,,502,Marwin Wik,Skene MS,,33
,,902,Peter Berggren,BMK Uddevalla,,34
,,199,William Blom,Skene MS,,35
,,508,Maria Thomsen,FMCK Borås,,36
,,999,Johan Törnqvist,FMCK Skövde,,37
,,594,Anton Torgin,Donkelo RK,,38
,,590,Tobias Hagelin,FMCK Borås,,39
,,998,Andreas Sandberg,FMCK Borås,,40
,,120,Albin Glansén,Tidaholms MK,,41
,,121,William Larsson,FMCK Skövde,,42
,,163,Erik Frisagård,Getinge MK,,43
,,103,Anton Magnusson,Norrahammars MK,,44
,,905,Per Norlander,Kullings MS,,45
,,176,Leo Revelj,BMK Uddevalla,,46
,,757,Simon Karlsson,Stenungsunds MS,,47
,,622,Oscar Kalliomäki Berg,Lilla Edets MCK,,48
,,113,Benjamin Bengtsson,Falköpings MK,,49
,,106,Hampus Andersson,Tibro MK,,50
,,973,Ola Daniel Strandvad,Viking,,51
,,908,Johan Alexandersson,Götene MK,,52
,,978,Kim Dubriang,Limhamns MK,,53
,,921,Mattias Roslund,Försvarsmaktens EK,,54
,,927,Mikael Dalåsen,SMK Trollhättan,,55
,,931,Andreas Leth,Älvbygdens MK,,56
,,937,David Rudhem,Lidköpings MCK,,57
,,506,Robert Stafsing,Varbergs MK,,58
,,505,Viktor Blom,Skene MS,,59
,,945,Markus Björklund,Hjo MK,,60
,,503,Christopher Skansen,Kinds MK,,61
,,501,Robert Hjalmarsson,MK Pionjär,,62
,,186,Felix Johansson,Skene MS,,63
,,966,Jimmy Andersson,Stenungsunds MS,,64
,,585,Ludvig Bernhardsson,Kortedala MK,,65
,,917,Fredrik Hassesjö,Kullings MS,,66
