Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6
FMCK Skövde,2023,1,Motion 40-49,1111,Magnus Edberg,Huskvarna MK,4,53:05.5,14:08.2,14:17.5,11:47.5,12:52.1,,
FMCK Skövde,2023,2,Motion -39,518,Alexander Fält,Försvarsmaktens EK,4,53:45.2,14:38.8,14:31.4,12:13.6,12:21.2,,
FMCK Skövde,2023,3,Motion -39,577,Måns Dalén,FMCK Skövde,4,53:51.5,14:20.4,14:53.3,12:03.4,12:34.3,,
FMCK Skövde,2023,4,Ungdom E1,175,William Almén,SMK Värnamo,4,54:06.2,14:26.6,14:50.0,12:07.0,12:42.5,,
FMCK Skövde,2023,5,Motion 40-49,944,Niklas Strömberg,Götene MK,4,54:13.8,14:40.2,15:07.9,11:56.7,12:28.9,,
FMCK Skövde,2023,6,Motion 40-49,931,Mårten Gustavsson,Försvarsmaktens EK,4,55:21.3,15:14.0,15:17.4,11:59.5,12:50.3,,
FMCK Skövde,2023,7,Motion -39,519,Erik Larsson,Tibro MK,4,55:38.1,15:39.1,15:09.3,12:19.7,12:29.9,,
FMCK Skövde,2023,8,Ungdom E1,100,Hugo Andersson,Tibro MK,4,55:49.5,14:43.9,16:13.7,12:25.1,12:26.6,,
FMCK Skövde,2023,9,Motion -39,620,Hampus Östensson,Hallsbergs MK,4,56:04.4,15:37.8,15:43.3,12:14.7,12:28.4,,
FMCK Skövde,2023,10,Motion 40-49,949,Benny Andersson,Norrahammars MK,4,56:08.1,15:01.3,15:00.1,13:01.1,13:05.4,,
FMCK Skövde,2023,11,Motion -39,539,Niklas Mörk,Laxå MK,4,56:49.4,15:34.2,15:20.1,12:33.2,13:21.7,,
FMCK Skövde,2023,12,Motion -39,513,Joacim Wigertson,Kullings MS,4,57:03.1,15:20.2,15:11.2,12:58.9,13:32.7,,
FMCK Skövde,2023,13,Ungdom E1,104,Theodor Popp,SMK Värnamo,4,57:04.7,16:23.5,15:50.6,12:23.3,12:27.1,,
FMCK Skövde,2023,14,Motion -39,552,Jakob Johansson,Tidaholms MK,4,57:37.5,15:03.4,16:59.5,12:29.5,13:05.0,,
FMCK Skövde,2023,15,Motion 40-49,929,Rickard Bengtsson,Falköpings MK,4,57:47.6,16:02.5,15:00.4,13:08.5,13:36.0,,
FMCK Skövde,2023,16,Motion -39,794,Joel Kvist,Försvarsmaktens EK,4,58:06.3,15:32.3,16:01.1,13:03.0,13:29.7,,
FMCK Skövde,2023,17,Motion 40-49,923,Stefan Liljedahl,Tibro MK,4,58:16.5,15:02.6,15:32.9,13:07.4,14:33.3,,
FMCK Skövde,2023,18,Ungdom E1,141,William Brehag Von Haugwitz,Carlsborgs MK,4,58:23.7,16:40.9,15:28.3,13:11.5,13:02.8,,
FMCK Skövde,2023,19,Motion 40-49,959,Charlie Turesson,FMCK Hässleholm,4,58:25.6,16:46.0,14:48.1,13:09.0,13:42.4,,
FMCK Skövde,2023,20,Motion 40-49,994,Mikael Bengtsson,Falköpings MK,4,58:39.9,16:49.2,15:02.7,13:43.5,13:04.3,,
FMCK Skövde,2023,21,Motion -39,507,Man - Alfred Ivarsson,Älvbygdens MK,4,58:41.2,16:32.7,15:27.2,13:06.6,13:34.5,,
FMCK Skövde,2023,22,Ungdom E1,162,Axel Plogner,Karlstad MX Klubb,4,58:45.3,16:23.5,15:51.7,13:07.3,13:22.6,,
FMCK Skövde,2023,23,Motion 40-49,997,Robert Strandberg,Hjo MK,4,59:12.1,16:49.0,15:44.0,13:07.8,13:31.2,,
FMCK Skövde,2023,24,Motion -39,536,Andreas Mörk,Laxå MK,4,59:13.1,15:19.6,16:47.8,13:28.1,13:37.5,,
FMCK Skövde,2023,25,Ungdom E1,151,Liam Nilsson,FMCK Skövde,4,59:19.8,16:07.2,15:58.2,13:59.9,13:14.3,,
FMCK Skövde,2023,26,Ungdom E1,101,Sixten Larsson,FMCK Borås,4,59:34.2,16:39.8,14:59.6,13:50.0,14:04.6,,
FMCK Skövde,2023,27,Motion -39,551,Melker Svantesson,Kullings MS,4,59:56.0,16:05.8,15:30.1,14:27.4,13:52.6,,
FMCK Skövde,2023,28,Motion -39,524,Marcus Hjelm,Falköpings MK,4,59:58.8,17:03.1,15:52.0,13:30.4,13:33.3,,
FMCK Skövde,2023,29,Motion -39,514,Daniel Hellstadius,Kullings MS,4,00:02.9,17:25.2,15:21.3,13:43.4,13:32.9,,
FMCK Skövde,2023,30,Motion 40-49,908,Martin Börjesson,FMCK Borås,4,00:08.3,16:23.4,15:58.1,13:44.4,14:02.3,,
FMCK Skövde,2023,31,Ungdom E1,193,Emil Wänndahl,Huskvarna MK,4,00:16.1,15:43.7,17:10.5,13:44.4,13:37.3,,
FMCK Skövde,2023,32,Motion -39,530,Patrik Olsson,Lilla Edets MCK,4,00:24.6,17:35.4,15:19.2,13:30.8,13:59.1,,
FMCK Skövde,2023,33,Motion -39,580,Albin Pettersson,Kristdala MS,4,00:28.3,16:33.8,15:32.9,13:52.5,14:29.0,,
FMCK Skövde,2023,34,Ungdom E1,165,Hugo Hellström,Norrahammars MK,4,00:44.8,17:06.6,17:03.3,13:25.2,13:09.6,,
FMCK Skövde,2023,35,Motion -39,527,George Svantesson,Kullings MS,4,00:46.9,16:21.3,16:26.0,14:06.2,13:53.3,,
FMCK Skövde,2023,36,Motion -39,512,Eric Lindblad,Hjo MK,4,00:56.0,17:06.1,16:21.4,14:00.1,13:28.3,,
FMCK Skövde,2023,37,Motion 40-49,986,Rikard Skerget,Stenungsunds MS,4,01:03.3,16:59.2,15:39.9,14:22.1,14:02.0,,
FMCK Skövde,2023,38,Motion -39,501,Linus Kjellström,Götene MK,4,01:41.2,16:47.8,16:09.2,14:14.5,14:29.6,,
FMCK Skövde,2023,39,Motion 40-49,900,Hans Torsborn,Ulricehamns MK,4,01:46.9,17:15.4,16:45.0,13:31.3,14:15.1,,
FMCK Skövde,2023,40,Motion 40-49,961,Daniel Lundqvist,Töreboda MK,4,01:48.8,17:07.5,16:10.4,14:01.5,14:29.3,,
FMCK Skövde,2023,41,Motion -39,650,Olle Samuelsson,Vimmerby MS,4,01:53.2,17:15.8,16:38.4,13:44.7,14:14.2,,
FMCK Skövde,2023,42,Ungdom E1,105,Alfred Gustavsson,Mariestads EK,4,01:58.0,18:21.1,15:32.8,13:21.8,14:42.2,,
FMCK Skövde,2023,43,Motion 40-49,996,Filip Starck,Norrahammars MK,4,01:58.2,16:53.0,15:45.3,14:16.8,15:02.9,,
FMCK Skövde,2023,44,Motion 40-49,934,Fredrik Hassesjö,Ulricehamns MK,4,02:02.3,16:23.2,16:07.3,14:33.7,14:57.9,,
FMCK Skövde,2023,45,Motion 40-49,989,Fredrik Sääv,Götene MK,4,02:12.4,17:18.5,18:11.2,13:05.9,13:36.7,,
FMCK Skövde,2023,46,Motion -39,500,Tommy Oldenburg,FMCK Skövde,4,02:16.3,17:43.6,15:50.8,14:05.7,14:35.9,,
FMCK Skövde,2023,47,Motion -39,537,Emil Meijer,Götene MK,4,02:18.1,16:53.7,16:24.2,14:07.3,14:52.8,,
FMCK Skövde,2023,48,Ungdom E1,102,Liam Qvist,Åbågen MCK,4,02:18.7,17:58.2,16:30.6,13:53.5,13:56.3,,
FMCK Skövde,2023,49,Motion 40-49,952,Christian Johansson,Tidaholms MK,4,02:28.6,17:00.4,16:23.9,14:30.1,14:34.1,,
FMCK Skövde,2023,50,Motion -39,542,Bernard Abrahamsson,FMCK BohusDal,4,02:33.9,17:54.3,16:14.9,14:07.2,14:17.3,,
FMCK Skövde,2023,51,Motion -39,509,Jonathan Storm,Kortedala MK,4,02:42.0,18:18.7,16:23.6,14:06.8,13:52.8,,
FMCK Skövde,2023,52,Motion -39,695,Dennis Eriksson,SMK Ronneby,4,02:43.2,17:34.9,16:16.3,14:22.4,14:29.5,,
FMCK Skövde,2023,53,Motion -39,566,Man - Henrik Madsen,Huskvarna MK,4,02:57.2,17:13.8,16:45.8,14:12.6,14:44.9,,
FMCK Skövde,2023,54,Motion -39,533,Jimmy Josefsson,Skene MS,4,03:07.7,18:49.2,16:15.8,14:04.1,13:58.4,,
FMCK Skövde,2023,55,Motion 40-49,903,Björn Bäckström,MK Ran,4,03:14.1,17:36.4,17:11.6,13:43.3,14:42.6,,
FMCK Skövde,2023,56,Motion 40-49,939,Sam Hämäläinen,Tibro MK,4,03:16.3,16:42.3,17:13.1,14:37.4,14:43.3,,
