#,Rank FMCK Skövde,Rank Töreboda MK,Rank Tidaholms MK,Rank Falköpings MK,Rank Carlsborgs MK,Rank Tibro MK,Namn,Klubb,Klass,Predicted_Rank,Rank
6.0,2.0,7.4,1.0,1.0,7.6,5.6,Marcus Alsing,SMC,Motion 40-49,4.100000000000029,1
78.0,7.0,5.0,6.0,8.0,8.0,3.0,Albin Elowson,FMCK Skövde,Senior,6.1666666666666945,2
20.0,4.0,11.0,7.0,7.0,12.0,10.0,Anton Rollborn,Djursdala SK,Motion 30-39,8.50000000000003,3
191.0,13.8,23.0,3.0,6.0,3.0,6.0,Christian Larsson,Ulricehamns MK,Motion 50-59,9.13333333333336,4
5.0,5.0,13.0,10.0,29.2,6.0,9.0,Harald Lindholm,Älvbygdens MK,Motion -39,12.033333333333363,5
4.0,16.0,6.0,8.0,24.6,27.4,5.6,Kennet Eriksson,SMK Trollhättan,Motion 60-,14.600000000000026,6
3.0,72.6,8.0,5.0,4.0,4.0,1.0,Niklas Johansson,Kullings MS,Motion 50-59,15.76666666666668,7
182.0,3.0,31.0,15.0,12.0,23.0,17.0,Joakim Holm,FMCK Skövde,Motion 50-59,16.833333333333364,8
186.0,15.0,64.6,4.0,5.0,15.0,11.0,Klas Elofsson,Skene MS,Motion 50-59,19.100000000000033,9
40.0,12.0,14.0,6.0,67.4,11.0,7.0,Melvin Bernström,Carlsborgs MK,Bredd,19.5666666666667,10
59.0,31.6,9.0,20.4,45.4,7.0,5.0,Niklas Mörk,Laxå MK,Motion -39,19.73333333333336,11
198.0,74.4,7.0,9.0,11.0,10.0,13.0,Albin Pettersson,Kristdala Motorsällskap,Motion -39,20.733333333333352,12
50.0,9.0,20.0,6.6,67.4,14.2,16.0,Magnus Blom,Bodafors MK,Bredd,22.20000000000003,13
109.0,27.2,22.0,13.0,25.0,30.0,23.0,Sander Sangberg,Lidköpings MCK,Ungdom E0,23.366666666666696,14
110.0,31.0,18.0,22.0,15.4,34.0,24.2,Liam Nilsson,FMCK Skövde,Ungdom E1,24.100000000000026,15
175.0,47.0,15.0,26.0,11.0,20.0,29.0,Isak Ljungström,Hallsbergs MK,Motion -39,24.666666666666693,16
111.0,19.0,46.2,20.0,23.0,30.6,14.0,Anton Torgin,Donkelo RK,Motion -39,25.466666666666697,17
179.0,18.0,70.6,18.0,11.0,21.0,16.2,Mattias Eriksson,Varbergs MK,Motion 40-49,25.800000000000026,18
141.0,10.0,49.2,39.0,19.2,16.0,27.4,Anton Andersson,Norrahammars MK,Ungdom E1,26.800000000000033,19
245.0,32.0,47.0,27.0,13.0,33.0,19.0,Christian Hagberg,FMCK Borås,Motion 50-59,28.50000000000003,20
100.0,52.0,12.0,12.0,38.8,13.0,45.6,William Bengtsson,Tidaholms MK,Ungdom E0,28.900000000000027,21
105.0,22.0,30.0,32.0,32.8,39.2,20.0,Charlie Bergsten,SMK Värnamo,Ungdom E0,29.333333333333368,22
1244.0,27.0,24.0,23.0,24.0,14.0,68.0,Rikard Sundström,Götene MK,Motion 30-39,30.000000000000032,23
1222.0,24.0,25.0,17.0,19.0,19.0,77.0,Johan Siggesson,Tibro MK,Bredd,30.1666666666667,24
7.0,107.8,4.0,2.0,64.8,1.0,2.0,Emil Wänndahl,Huskvarna MK,Ungdom E1,30.266666666666676,25
171.0,34.0,37.0,31.0,21.0,26.0,34.0,Per Hedskog,SMK Trollhättan,Motion 50-59,30.50000000000003,26
1.0,26.0,33.0,19.0,20.0,24.0,65.0,Johan Elfving,Ulricehamns MK,Motion 40-49,31.166666666666693,27
106.0,37.2,38.0,33.0,17.0,45.8,18.0,Mikael Öhrn,Karlskoga EK,Motion 50-59,31.500000000000025,28
1.0,1.0,1.0,73.6,24.6,27.4,63.0,Robert Friberg,FMCK Skövde,Senior,31.76666666666671,29
