Tidaholms MK,2024,#,Namn,Klubb
,,200,Andreas Toresson,Lilla Edets MCK
,,201,Eddie Bergman,Tidaholms MK
,,203,Ronnie Nilsson,Töreboda MK
,,204,Jimmy Johansson,Försvarsmaktens EK
,,205,Mikael Persson,Försvarsmaktens EK
,,208,Andreas Josefsson,Falköpings MK
,,213,Björn Levin,Kinna MK
,,214,Henrik Rynning,Tibro MK
,,226,Jonas Karlsson,Hjo MK
,,233,Kim Nilsson,Rospiggarna SK
,,241,Joakim Svensson,Linköpings MS
,,256,Emil Hermansson,MC Alingsås
,,257,Anton Bragd,Lidköpings MCK
,,269,Albin Bäckström Herbertsson,Säffle MCK
,,271,Håkan Gustafsson,Alingsås MCK
,,285,Sebastian Adielsson,MK Pionjär
,,302,Christer Jansson,SMK Värnamo
,,307,Tobias Olofsson,Varbergs MK
,,317,Philip Broberg,Lidköpings MCK
,,334,Johan Sigby,Norrahammars MK
,,211,Robert Ahlin,Falköpings MK
